name,line
JAKE," This job is eating me alive. I can't breathe anymore. I spent all these years trying to be the good guy, the man in the white hat. I'm not becoming like them. I am them."
AMY," Hey! What are you doing, weirdo?"
JAKE," I'm doing the best speech from Donnie Brasco. Or actually, ten of me are doing the best speech from Donnie Brasco. [He stares at the screens of himself.] 'Sup?"
AMY," Get it together, man. Okay?"
AMY," So the store was hit about two hours ago. They took mostly tablets, laptops, and cameras."
JAKE, Sorry.
AMY," I'd like a list of all your employees, whoever had access to the store. I'd also like to apologize for my partner. His parents didn't give him enough attention."
JAKE," Uh, Detective... I already solved the case. We're looking for three white males, one of whom has sleeve tats on both arms."
AMY, And how do you know that?
JAKE," I had an informant on the inside. He's been here for years. Watching, learning. Waiting. His code name? [He holds up a stuffed bear.] Fuzzy Cuddle bear. He's a nanny cam. [He flips the bear over to show the electronic device inside, which appears to be the end of a You got lucky."
JAKE," No, I got here five minutes before you and figured that in this gigantic electronics store, there had to be at least one working camera. [He plugs the camera into the TV screens, broadcasting the recorded video of two guys stealing. We see their face clearly.] Oh! Hi, bad guys! [He looks to the bear] You did it, fuzzy. You busted 'em. It's time to come home."
JAKE,"  I'm not sure if I can. I've been undercover so long, I've forgotten who I am. I have seen terrible things. I haven't known the touch of a woman in many moons."
AMY, All right.
JAKE, Detective Santiago! Don't walk away from me!
JAKE," Yes, I did crack the case. So, Santiago, would you do the honors?"
AMY, I hate this!
JAKE," Ah, yeah. And you're just gonna add one."
JAKE, I'm winning.
AMY, I hate this!
JAKE, It's a good feeling. It's a good feeling. Yeah.
AMY, Enjoy it while it lasts.
JAKE, I will!
JAKE, Charles thinks it was flan. I think it was butterscotch pudding.
JAKE," Oldie gunk. Could be, yeah. Anyone else?"
AMY, Crime techs are at the scene now. We're heading back when they're done.
AMY," Hey, you heard anything about the new Captain?"
JAKE," Uh, no, and I don't care. I just wish Captain McGintley never left, he was the best."
AMY, He was terrible. You just liked him 'cause he let you do anything you wanted.
JAKE," On your marks, get set..."
JAKE, Fire extinguisher roller chair derby?
JAKE, And go!
JAKE, Yeah!
JAKE, What's your point?
AMY," If I'm ever gonna make Captain, I need a good mentor. I need my rabbi."
JAKE," Sorry, dude. But this new guy's gonna be another washed-up pencil pusher who's only concerned with [He imitates a robot.] Following every rule in the patrol guide. Meep morp zeep. Robot Captain Engage."
JAKE, He-hey! New Captain alert. You must be the new C.O. I'm Detective Jake Peralta. Great to meet you.
JAKE," That's not necessary.Or I could recap very quickly, sure. Um, let's see. I think I said some joke about being a washed-up pencil pusher."
JAKE, Which-
JAKE, Meep morp zarp. Robot.
JAKE, Yep.
JAKE," Oh, actually, the last Captain didn't care if we wore ties."
AMY, Speech!
AMY, Short and sweet.
AMY, I love that guy.
JAKE, Same!
JAKE," Hey, man, you okay? You look a little jumpy."
JAKE, I think he's dead.
AMY," Oh, is it? Hmm?"
JAKE, What is happening?
JAKE," Okay, so the perp came in through the window, "
AMY," Shell casing found here. Two shots. Bang, bang"
JAKE," Great work, Detective. You get a tie."
JAKE," That's right, Charles. Good solve. Tie for you. "
JAKE, Now everyone be sure to put those on because it's impossible to solve crimes - unless you're wearing a tie.
AMY, Lay off the Captain. That man is gonna be my rabbi.
JAKE," Okay, first of all, when you use the word ""rabbi,"" you know that turns me on and that's unfair in the work environment. Secondly, your rabbi is a pain in my ass."
JAKE," $6,000 for a ham?"
JAKE," Wow, that's a great story, Charles, thank you. [Charles laughs.] All right, listen up, everybody. Better contact Captain Holt, let him know we got a ten-tie situation."
JAKE, This is fantastic. Captain! Hey! Welcome to the murder. What are you doing here?
JAKE, Yep.
JAKE, Door duty? It's a waste of time.
JAKE, That went well.
JAKE, He's got like super hearing.
JAKE, Let the wasting of time begin.
AMY," Hello, sir. Can we ask you a few questions?"
JAKE, Do you think it's the same dude that left that bong there on the floor?
JAKE," Ah, Captain. You're at my desk. Just what I wanna see first thing in the morning."
JAKE, Not my fault. I had a plumbing problem.
JAKE," Which reminds me, I'm gonna need a new departmentally issued phone. Oh, come on, really? I'm a few minutes late, so you're gonna call me out in front of everyone?"
JAKE," Okay, fine. I was three minutes late. I'm sorry for doing one thing wrong."
JAKE, Uh-oh.
JAKE, It was an amazing solve. I got him to confess in 20 minutes.
JAKE, That one's the dump?
JAKE," Gah, I should've guessed that. He's good."
JAKE," So I won't confuse it with ""undies, clean."" Also, who cares about all these rules? I have more felony arrests than any other detective here."
JAKE," ""Algernon."" ""You guys, Algernon's back."""
JAKE, He's grumpy.
AMY," There are 12 keys of coke unaccounted for, but we just got a warrant to search the dealer's apartment."
JAKE," Well, there's no easy way to put this, Sarge, but someone has been painting wieners on squad cars."
